age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, Income-category
18, Private,444822, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,8, Mexico, <=50K
29, Private,81057, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
59, Private,169639, Assoc-acdm,12, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private,128478, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, <=50K
23, Local-gov,314819, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
53, Federal-gov,177212, Some-college,10, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Self-emp-not-inc,108198, HS-grad,9, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
47, Local-gov,80282, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,3137,0,40, United-States, <=50K
39, Local-gov,316582, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,55, United-States, <=50K
60, Private,120067, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
18, Private,71792, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private,233130, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
59, Private,304779, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
46, Private,175625, Prof-school,15, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private,287268, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
48, Private,207120, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,397280, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
53, Local-gov,188772, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
37, Local-gov,186035, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
20, Private,113511, 11th,7, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private,124771, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,285432, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
60, Private,239576, Masters,14, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, <=50K
21, Private,132320, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
43, Self-emp-inc,196945, HS-grad,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,78, Thailand, <=50K
45, Private,179428, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States, <=50K
61, Self-emp-not-inc,244087, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, >50K
58, Private,430005, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
36, Private,268292, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, United-States, <=50K
22, Private,103762, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private,137510, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private,269723, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private,306830, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Nicaragua, <=50K
60, Private,185749, 11th,7, Widowed, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
31, Private,183801, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,43, United-States, >50K
52, Local-gov,378045, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
37, Private,103408, HS-grad,9, Never-married, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
34, Self-emp-inc,198613, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2002,40, United-States, <=50K
56, Local-gov,571017, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,15, United-States, <=50K
35, Private,112512, HS-grad,9, Widowed, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private,272185, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,0,0,33, United-States, <=50K
26, Private,227489, Some-college,10, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,40, ?, <=50K
38, Private,22042, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,39, United-States, <=50K
33, ?,289046, HS-grad,9, Divorced, ?, Not-in-family, Black, Male,0,1741,40, United-States, <=50K
45, Private,178416, Assoc-voc,11, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private,74966, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,24, United-States, <=50K
32, Private,42485, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Private,275361, Assoc-acdm,12, Widowed, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
34, Private,103596, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc,104216, Prof-school,15, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States, <=50K
27, Private,150296, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,32, United-States, <=50K
39, Private,347814, Assoc-acdm,12, Never-married, Other-service, Own-child, White, Female,0,0,56, United-States, <=50K
18, ?,184101, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,25, United-States, <=50K
38, Self-emp-not-inc,200153, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
58, Private,178644, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
21, Private,198050, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,28, United-States, <=50K
68, Private,121846, 7th-8th,4, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
23, Private,208946, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,32, United-States, <=50K
35, Private,210844, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
33, Private,221196, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
41, Federal-gov,106982, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
28, Private,266070, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private,186434, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, >50K
42, Private,168103, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
33, Private,159574, 7th-8th,4, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, <=50K
30, Private,226443, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
65, Private,176796, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,356017, 11th,7, Never-married, Other-service, Not-in-family, White, Male,0,0,99, United-States, <=50K
18, ?,297396, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,10, United-States, <=50K
49, Self-emp-inc,38819, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
35, Private,241998, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
41, Private,328447, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Mexico, <=50K
22, Private,231912, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,37, United-States, <=50K
80, Self-emp-not-inc,562336, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
42, Local-gov,255675, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
31, Private,331065, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,1408,40, United-States, <=50K
17, Private,181580, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
18, ?,30246, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,20, United-States, <=50K
58, Private,272902, Bachelors,13, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private,31339, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
37, Private,37778, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
28, Private,270973, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private,169397, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
41, Self-emp-inc,145441, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
18, Private,137363, 12th,8, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
42, Private,266710, Some-college,10, Separated, Adm-clerical, Unmarried, Black, Female,0,0,41, United-States, <=50K
49, Private,144844, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,52, United-States, >50K
45, Local-gov,53123, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
48, Self-emp-not-inc,179337, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, England, <=50K
30, ?,298577, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,30, United-States, <=50K
33, ?,393376, 11th,7, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private,33887, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
24, Private,174138, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private,94235, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
36, Private,31438, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Male,0,0,43, ?, <=50K
53, Private,215572, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,209317, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, ?, <=50K
38, Private,31964, 9th,5, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
18, ?,200525, 11th,7, Never-married, ?, Own-child, White, Female,0,0,25, United-States, <=50K
48, Private,266764, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
37, Private,263094, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
41, ?,277390, Bachelors,13, Married-civ-spouse, ?, Wife, White, Female,0,0,30, United-States, >50K
32, Private,295589, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, United-States, >50K
35, Private,114605, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States, <=50K
38, State-gov,22245, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
46, Private,117313, 9th,5, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Ireland, <=50K
47, Private,192793, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
55, Private,200992, Some-college,10, Widowed, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
49, Private,176684, Assoc-voc,11, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private,173115, 10th,6, Separated, Exec-managerial, Not-in-family, Black, Male,4416,0,99, United-States, <=50K
41, Private,102332, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Private,67728, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2051,45, United-States, <=50K
39, Private,167777, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
79, ?,100881, Assoc-acdm,12, Married-civ-spouse, ?, Wife, White, Female,0,0,2, United-States, >50K
48, Private,192894, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
52, Private,198863, Prof-school,15, Divorced, Exec-managerial, Not-in-family, White, Male,0,2559,60, United-States, >50K
44, Private,171722, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,39, United-States, <=50K
47, State-gov,103406, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,182108, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Private,294064, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, France, <=50K
44, Self-emp-inc,151089, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,70, United-States, >50K
45, ?,236612, 11th,7, Divorced, ?, Own-child, Black, Male,0,0,40, United-States, <=50K
59, Private,192983, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private,283174, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
33, State-gov,208785, Some-college,10, Separated, Prof-specialty, Not-in-family, White, Male,10520,0,40, United-States, >50K
31, State-gov,176998, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
42, Private,209370, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
21, Private,216070, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,46, United-States, >50K
39, Self-emp-not-inc,148443, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
40, Private,140559, HS-grad,9, Married-civ-spouse, Priv-house-serv, Wife, White, Female,0,0,45, United-States, <=50K
20, Private,157894, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
31, State-gov,78291, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private,389942, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private,114797, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,36, United-States, <=50K
63, Private,158199, 1st-4th,2, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,44, Portugal, <=50K
38, Private,179488, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States, <=50K
43, Private,152420, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, United-States, <=50K
24, Private,225515, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private,176992, 10th,6, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
34, Private,113543, Masters,14, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private,288983, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private,245521, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, Mexico, <=50K
